Precinct,badBoxes,blank,castle,clinton,fuzzy,johnson,moorehead,multiple,roque,stein,trump,write-in
Albion,1,6,8,591,0,50,0,0,0,14,463,8
Belleville,17,4,6,843,0,36,1,4,0,15,397,16
Berry,1,2,3,414,0,27,1,0,0,9,285,19
Black,1,14,5,675,0,31,0,1,1,6,372,13
Blooming,1,1,0,666,0,27,2,0,0,21,293,16
Blue,3,15,3,641,0,49,0,0,0,10,391,18
Bristol,1,18,5,1131,0,108,1,0,2,27,1100,36
Brooklyn,1,4,4,473,0,34,0,0,0,13,244,9
Burke,2,15,3,1074,0,54,0,0,2,26,762,20
Cambridge,0,7,3,542,1,28,0,2,0,10,324,6
Christiana,0,3,3,363,0,24,1,0,0,3,323,7
Cottage,4,44,9,3612,1,235,1,3,3,50,2118,74
Cross,1,15,16,1842,1,122,0,2,0,40,1091,50
Dane,2,11,9,491,0,47,0,0,3,8,513,17
DeForest,10,34,22,2881,6,240,4,9,1,51,1716,69
Deerfield,1,16,3,1194,0,85,0,1,0,42,867,27
Dunkirk,0,12,3,683,0,39,1,0,2,6,462,21
Dunn,14,21,9,1901,1,105,3,3,0,45,1143,32
Fitchburg,13,115,26,10077,7,477,6,18,10,135,2911,212
Madison,466,891,272,108354,75,4571,91,111,56,2351,20796,1913
Maple,1,8,2,689,0,31,1,0,0,15,294,19
Marshall,1,11,9,934,1,68,0,2,0,26,693,20
Mazomanie,1,14,9,898,0,59,2,1,0,28,566,18
McFarland,22,42,24,3105,2,197,3,5,3,51,1456,80
Medina,1,4,0,377,0,22,1,1,1,4,342,7
Middleton,6,148,35,11019,11,508,6,16,7,182,3946,266
Monona,6,38,12,4115,5,150,7,1,3,60,1051,73
Montrose,1,3,2,428,1,20,1,2,0,5,244,4
Mount,2,33,13,2582,2,179,2,5,1,61,1205,60
Oregon,11,84,28,5080,2,292,4,8,4,73,2460,112
Perry,0,1,1,306,1,12,1,0,0,2,163,5
Pleasant,0,12,7,1117,0,59,0,1,1,15,868,29
Primrose,0,3,4,273,0,18,0,0,0,8,143,2
Rockdale,0,1,0,63,1,9,0,0,0,0,30,2
Roxbury,2,6,4,559,0,42,0,0,0,7,451,23
Rutland,6,8,3,733,1,48,2,4,0,16,459,21
Shorewood,0,12,0,1282,0,28,1,2,1,13,121,11
Springdale,8,9,7,681,0,52,1,0,0,22,450,15
Springfield,1,13,9,833,0,58,0,1,0,12,700,30
Stoughton,1,49,17,4586,2,199,5,5,3,111,2104,77
Sun,60,171,67,10939,8,757,7,16,10,185,5726,278
