Precinct,trump,clinton,castle,johnson,stein,moorehead,roque,write-in
T Albion Wds 1-2,463,592,8,50,14,0,0,7
T Berry Wds 1-2,285,415,3,27,9,1,0,16
T Black Earth Wd 1,137,176,0,10,2,0,1,5
T Blooming Grove Wds 1-3,294,665,0,27,21,2,0,16
T Blue Mounds Wd 1,239,315,2,29,3,0,0,9
T Bristol Wds 1-4,1100,1132,5,108,27,1,2,36
T Burke Wds 1-4,762,1076,3,54,26,0,2,20
T Christiana Wds 1-2,323,363,3,24,3,1,0,7
T Cottage Grove W 1-2 4-5,595,851,3,62,10,1,0,9
"T Cottage Grove Wds 3, 6",326,523,1,23,10,0,1,15
T Cross Plains Wds 1-2,394,498,9,34,15,0,0,9
T Cross Plains Wd 3,0,0,0,0,0,0,0,0
T Dane Wd 1,276,222,7,18,2,0,2,9
T Deerfield Wds 1-2,385,459,1,26,11,0,0,14
"T Dunkirk Wds 1, 3, 5",292,439,0,27,3,1,1,13
"T Dunkirk Wds 2, 4, 6",171,244,3,12,3,0,1,8
T Dunn Wds 1-7,1148,1911,9,105,47,3,0,32
T Madison Wd 1,31,307,0,9,16,1,0,6
T Madison Wds 2-9,222,1692,4,64,69,2,2,31
T Mazomanie Wds 1-2,262,347,3,17,10,1,0,8
T Medina Wds 1-2,342,378,0,22,4,1,1,7
T Middleton Wds 1-8,1470,2313,13,155,30,0,2,92
T Montrose Wds 1-2,246,429,2,20,5,1,0,4
T Oregon Wds 1-4,713,1276,13,70,19,0,0,28
T Perry Wd 1,163,306,1,12,2,1,0,5
T Pleasant Springs Wd 1-4,869,1119,7,59,15,0,1,29
T Primrose Wd 1,143,273,4,18,8,0,0,2
T Roxbury Wds 1-2,453,557,4,42,7,0,0,23
T Rutland Wds 1-2,461,738,3,49,16,2,0,21
T Springdale Wds 1-2,455,684,7,52,22,1,0,15
T Springfield Wds 1-3,703,833,9,58,12,0,0,30
T Sun Prairie Wds 1-3,594,719,2,41,9,0,1,14
T Vermont Wd 1,174,342,0,18,6,0,1,7
T Verona Wd 1,172,225,1,13,5,0,0,5
T Verona Wds 2-4,290,532,1,26,5,0,1,11
T Vienna Wds 1-2,444,422,3,22,14,0,3,13
T Westport Wds 1-5,1031,1607,7,94,28,1,4,49
T York Wd 1,191,194,2,10,2,0,0,1
V Belleville Wds 1-2,303,687,4,27,8,1,0,10
V Black Earth Wds 1-2,237,498,5,21,4,0,0,12
V Blue Mounds Wd 1,152,329,1,20,7,0,0,9
V Brooklyn Wd 1,157,331,2,20,9,0,0,7
V Brooklyn Wd 3,0,0,0,0,0,0,0,0
V Cambridge Wds 2-3,312,513,2,27,9,0,0,6
V Cottage Grove Wds 1-10,1197,2246,5,150,30,0,2,50
V Cross Plains Wds 1-4,695,1344,7,88,25,0,0,41
V Cross Plains Wd 5,0,0,0,0,0,0,0,0
V Dane Wd 1,238,268,2,29,6,0,1,8
V Deerfield Wds 1-3,478,735,2,58,31,0,0,13
