Precinct,trump,clinton,castle,johnson,stein,moorehead,roque,write-in
Albion,463,592,8,50,14,0,0,7
Belleville,303,687,4,27,8,1,0,10
Berry,285,415,3,27,9,1,0,16
Black,374,674,5,31,6,0,1,17
Blooming,294,665,0,27,21,2,0,16
Blue,391,644,3,49,10,0,0,18
Bristol,1100,1132,5,108,27,1,2,36
Brooklyn,157,331,2,20,9,0,0,7
Burke,762,1076,3,54,26,0,2,20
Cambridge,312,513,2,27,9,0,0,6
Christiana,323,363,3,24,3,1,0,7
Cottage,2118,3620,9,235,50,1,3,74
Cross,1089,1842,16,122,40,0,0,50
Dane,514,490,9,47,8,0,3,17
DeForest,1720,2897,23,241,52,4,1,69
Deerfield,863,1194,3,84,42,0,0,27
Dunkirk,463,683,3,39,6,1,2,21
Dunn,1148,1911,9,105,47,3,0,32
Edgerton,26,28,0,6,0,0,0,0
Fitchburg,2923,10121,27,477,137,6,10,213
Madison,23305,122177,310,4984,2661,102,62,2122
Maple,294,690,3,31,15,1,0,19
Marshall,694,937,9,68,26,0,0,20
Mazomanie,566,898,9,59,28,2,0,18
McFarland,1465,3123,24,198,52,3,3,81
Medina,342,378,0,22,4,1,1,7
Middleton,3958,11040,35,509,183,6,7,268
Monona,1050,4145,12,151,60,7,3,73
Montrose,246,429,2,20,5,1,0,4
Mount,1205,2591,13,179,61,1,1,60
Oregon,2466,5094,28,293,73,4,4,112
Perry,163,306,1,12,2,1,0,5
Pleasant,869,1119,7,59,15,0,1,29
Primrose,143,273,4,18,8,0,0,2
Rockdale,30,64,0,9,0,0,0,2
Roxbury,453,557,4,42,7,0,0,23
Rutland,461,738,3,49,16,2,0,21
Shorewood,121,1285,0,28,13,1,1,11
Springdale,455,684,7,52,22,1,0,15
Springfield,703,833,9,58,12,0,0,30
Stoughton,2107,4593,17,199,111,5,3,78
Sun,5747,11000,65,761,186,7,11,279
Vermont,174,342,0,18,6,0,1,7
Verona,2445,5629,28,326,90,2,3,179
Vienna,444,422,3,22,14,0,3,13
Waunakee,2840,4351,22,299,56,3,4,129
Westport,1031,1607,7,94,28,1,4,49
Windsor,1679,2320,20,171,36,3,3,47
York,191,194,2,10,2,0,0,1
